concept_group,term,match_type,priority,include,reference_count,total_hit_count,reference_ids,reference_hit_counts,evidence_terms,notes
ai_activity,AI adoption,phrase,high,1,10,61,AI01;AI02;AI03;AI09;AI11;AI12;AI13;AI14;AI15;AI16,AI01:11;AI02:1;AI03:2;AI09:13;AI11:1;AI12:23;AI13:1;AI14:1;AI15:5;AI16:3,AI adoption,Literature-discovered expression for firm/investor adoption
ai_activity,Artificial intelligence adoption,phrase,medium,1,2,3,AI15;AI16,AI15:1;AI16:2,Artificial intelligence adoption,Expanded version of AI adoption
ai_activity,AI implementation,phrase,medium,1,4,7,AI01;AI03;AI04;AI12,AI01:3;AI03:1;AI04:1;AI12:2,AI implementation,Literature-discovered implementation expression
ai_activity,AI integration,phrase,medium,1,2,2,AI02;AI15,AI02:1;AI15:1,AI integration,Literature-discovered integration expression
ai_activity,AI capabilities,phrase,medium,1,2,6,AI05;AI14,AI05:1;AI14:5,AI capabilities,Literature-discovered firm capability expression
ai_activity,AI solutions,phrase,medium,1,3,6,AI01;AI04;AI12,AI01:4;AI04:1;AI12:1,AI solutions,Literature-discovered solution/product expression
ai_activity,AI software,phrase,review,0,4,8,AI01;AI02;AI03;AI12,AI01:3;AI02:2;AI03:2;AI12:1,AI software,Discovered but may be broad; hold for candidate inspection
ai_technology,AI technologies,phrase,high,1,9,77,AI01;AI02;AI03;AI04;AI06;AI09;AI12;AI13;AI14,AI01:30;AI02:5;AI03:14;AI04:8;AI06:7;AI09:4;AI12:4;AI13:4;AI14:1,AI technologies,Literature-discovered plural technology expression
ai_technology,AI technology,phrase,medium,1,9,33,AI01;AI03;AI04;AI05;AI06;AI09;AI13;AI14;AI15,AI01:1;AI03:3;AI04:8;AI05:4;AI06:7;AI09:6;AI13:1;AI14:2;AI15:1,AI technology,Literature-discovered singular technology expression
ai_technology,AI tools,phrase,medium,1,10,29,AI01;AI03;AI05;AI06;AI08;AI09;AI11;AI12;AI14;AI16,AI01:2;AI03:2;AI05:4;AI06:2;AI08:5;AI09:9;AI11:1;AI12:2;AI14:1;AI16:1,AI tools,Literature-discovered tools expression
ai_technology,AI tool,phrase,medium,1,2,6,AI07;AI09,AI07:2;AI09:4,AI tool,Singular form discovered in references
ai_technology,AI models,phrase,medium,1,8,39,AI01;AI02;AI05;AI06;AI07;AI09;AI10;AI14,AI01:1;AI02:1;AI05:3;AI06:2;AI07:3;AI09:1;AI10:24;AI14:4,AI models,Literature-discovered model expression
ai_technology,AI model,phrase,medium,1,5,33,AI07;AI08;AI09;AI10;AI14,AI07:2;AI08:4;AI09:1;AI10:4;AI14:22,AI model,Singular form discovered in references
ai_technology,AI applications,phrase,medium,1,6,12,AI01;AI03;AI09;AI11;AI12;AI16,AI01:3;AI03:1;AI09:2;AI11:2;AI12:3;AI16:1,AI applications,Literature-discovered application expression
ai_technology,AI application,phrase,medium,1,1,1,AI17,AI17:1,AI application,Singular form; sparse but direct
ai_workforce,AI skills,phrase,medium,1,7,34,AI01;AI02;AI03;AI04;AI11;AI12;AI13,AI01:9;AI02:5;AI03:10;AI04:3;AI11:1;AI12:4;AI13:2,AI skills,Literature-discovered workforce/skill expression
ai_workforce,AI workers,phrase,medium,1,5,249,AI01;AI02;AI03;AI04;AI12,AI01:45;AI02:49;AI03:49;AI04:63;AI12:43,AI workers,Literature-discovered worker expression
ai_workforce,AI worker,phrase,medium,1,2,5,AI04;AI12,AI04:3;AI12:2,AI worker,Singular form discovered in references
ai_workforce,AI-skilled labor,phrase,high,1,5,15,AI01;AI02;AI03;AI04;AI12,AI01:6;AI02:1;AI03:6;AI04:1;AI12:1,AI-skilled labor,Strong literature-discovered human-capital expression
ai_workforce,AI-skilled workers,phrase,medium,1,3,14,AI01;AI04;AI09,AI01:10;AI04:1;AI09:3,AI-skilled workers,Literature-discovered worker expression
ai_workforce,AI-skilled human capital,phrase,medium,1,4,9,AI01;AI03;AI04;AI09,AI01:4;AI03:1;AI04:3;AI09:1,AI-skilled human capital,Literature-discovered human-capital expression
ai_workforce,AI-related skills,phrase,medium,1,3,7,AI01;AI03;AI13,AI01:4;AI03:1;AI13:2,AI-related skills,Literature-discovered related-skills expression
ai_workforce,AI-related jobs,phrase,medium,1,3,4,AI01;AI03;AI13,AI01:2;AI03:1;AI13:1,AI-related jobs,Literature-discovered jobs expression
ai_workforce,AI job,phrase,review,0,6,13,AI01;AI02;AI04;AI12;AI13;AI14,AI01:1;AI02:5;AI04:3;AI12:1;AI13:2;AI14:1,AI job,Discovered but may be measurement/reporting language; review before use
ai_exposure,AI exposure,phrase,high,1,4,144,AI05;AI06;AI15;AI16,AI05:14;AI06:127;AI15:2;AI16:1,AI exposure,Literature-discovered exposure expression
ai_exposure,AI intensity,phrase,medium,1,1,121,AI11,AI11:121,AI intensity,Literature-discovered intensity expression; mostly one source
ai_exposure,firm-level AI,phrase,medium,1,4,16,AI04;AI05;AI08;AI12,AI04:10;AI05:1;AI08:3;AI12:2,firm-level AI,Literature-discovered firm-level expression
gen_ai,Generative AI,phrase,high,1,9,519,AI04;AI05;AI06;AI07;AI08;AI09;AI10;AI15;AI16,AI04:2;AI05:79;AI06:233;AI07:1;AI08:17;AI09:105;AI10:76;AI15:1;AI16:5,Generative AI,Literature-discovered GenAI expression
gen_ai,generative artificial intelligence,phrase,high,1,4,4,AI06;AI10;AI15;AI16,AI06:1;AI10:1;AI15:1;AI16:1,generative artificial intelligence,Expanded GenAI expression discovered in references
gen_ai,Generative AI exposure,phrase,medium,1,2,18,AI05;AI06,AI05:2;AI06:16,Generative AI exposure,Literature-discovered GenAI exposure expression
gen_ai,Generative AI technologies,phrase,medium,1,2,3,AI06;AI09,AI06:2;AI09:1,Generative AI technologies,Literature-discovered GenAI technology expression
gen_ai,Generative AI technology,phrase,medium,1,2,3,AI06;AI09,AI06:2;AI09:1,Generative AI technology,Singular GenAI technology expression
gen_ai,Generative AI tools,phrase,medium,1,3,3,AI06;AI08;AI09,AI06:1;AI08:1;AI09:1,Generative AI tools,Literature-discovered GenAI tools expression
gen_ai,Generative AI models,phrase,medium,1,2,7,AI05;AI10,AI05:1;AI10:6,Generative AI models,Literature-discovered GenAI model expression
gen_ai,large language models,phrase,high,1,7,26,AI05;AI06;AI07;AI08;AI09;AI10;AI15,AI05:6;AI06:7;AI07:4;AI08:2;AI09:1;AI10:4;AI15:2,large language models,Literature-discovered LLM expression
gen_ai,large language model,phrase,high,1,5,11,AI05;AI06;AI07;AI08;AI09,AI05:4;AI06:2;AI07:3;AI08:1;AI09:1,large language model,Singular LLM expression
gen_ai,LLMs,word_boundary,high,1,6,62,AI05;AI06;AI07;AI08;AI10;AI15,AI05:52;AI06:3;AI07:1;AI08:1;AI10:1;AI15:4,LLMs,Literature-discovered plural acronym
gen_ai,LLM,word_boundary,high,1,5,105,AI05;AI06;AI07;AI09;AI15,AI05:71;AI06:29;AI07:2;AI09:1;AI15:2,LLM,Literature-discovered acronym
gen_ai,ChatGPT,word_boundary,high,1,8,586,AI05;AI06;AI07;AI08;AI09;AI10;AI15;AI16,AI05:28;AI06:113;AI07:239;AI08:31;AI09:129;AI10:22;AI15:16;AI16:8,ChatGPT,Literature-discovered product/model expression
gen_ai,GPT,word_boundary,medium,1,7,42,AI01;AI05;AI06;AI07;AI08;AI09;AI17,AI01:1;AI05:7;AI06:14;AI07:3;AI08:2;AI09:13;AI17:2,GPT,Literature-discovered acronym; review false positives
gen_ai,GPT-4,word_boundary,medium,1,4,6,AI05;AI06;AI10;AI15,AI05:2;AI06:1;AI10:2;AI15:1,GPT-4,Literature-discovered model name
gen_ai,GPT-3,word_boundary,medium,1,2,5,AI09;AI10,AI09:2;AI10:3,GPT-3,Literature-discovered model name
gen_ai,Generative Pre-trained Transformer,phrase,medium,1,3,3,AI07;AI08;AI09,AI07:1;AI08:1;AI09:1,Generative Pre-trained Transformer,Literature-discovered expanded GPT expression
ai_methods,natural language processing,phrase,high,1,10,23,AI01;AI02;AI03;AI04;AI05;AI07;AI09;AI12;AI13;AI15,AI01:5;AI02:3;AI03:4;AI04:3;AI05:3;AI07:1;AI09:1;AI12:1;AI13:1;AI15:1,natural language processing,Literature-discovered NLP expression
ai_methods,NLP,word_boundary,medium,1,9,0,AI01;AI03;AI04;AI05;AI06;AI10;AI11;AI12;AI14,AI01:0;AI03:0;AI04:0;AI05:0;AI06:0;AI10:0;AI11:0;AI12:0;AI14:0,NLP,Literature-discovered acronym
ai_methods,computer vision,phrase,high,1,5,19,AI01;AI02;AI03;AI04;AI13,AI01:7;AI02:4;AI03:3;AI04:4;AI13:1,computer vision,Literature-discovered AI subfield
ai_methods,image recognition,phrase,medium,1,4,4,AI01;AI12;AI13;AI16,AI01:1;AI12:1;AI13:1;AI16:1,image recognition,Literature-discovered application expression
ai_methods,reinforcement learning,phrase,medium,1,6,8,AI07;AI08;AI09;AI13;AI14;AI18,AI07:1;AI08:1;AI09:2;AI13:2;AI14:1;AI18:1,reinforcement learning,Literature-discovered method expression
ai_methods,supervised learning,phrase,medium,1,3,4,AI01;AI02;AI03,AI01:1;AI02:2;AI03:1,supervised learning,Literature-discovered method expression
ai_applications,AI analyst,phrase,medium,1,1,24,AI14,AI14:24,AI analyst,Specific literature-discovered application from stock analysis paper
ai_applications,AI analysts,phrase,medium,1,1,1,AI14,AI14:1,AI analysts,Plural form
ai_applications,automated underwriting,phrase,medium,1,1,0,AI19,AI19:0,automated underwriting,Specific machine-decision application from automated underwriting paper
automation_robotics,robotics,word_boundary,medium,1,8,0,AI01;AI02;AI04;AI05;AI12;AI15;AI16;AI17,AI01:0;AI02:0;AI04:0;AI05:0;AI12:0;AI15:0;AI16:0;AI17:0,robotics,Literature-discovered robotics expression
automation_robotics,robotic process automation,phrase,medium,1,1,3,AI12,AI12:3,robotic process automation,Literature-discovered audit/process automation expression
review_only,automation,word_boundary,review,0,13,0,AI01;AI02;AI03;AI05;AI06;AI08;AI11;AI12;AI13;AI15;AI16;AI17;AI19,AI01:0;AI02:0;AI03:0;AI05:0;AI06:0;AI08:0;AI11:0;AI12:0;AI13:0;AI15:0;AI16:0;AI17:0;AI19:0,automation,Literature-discovered but too broad as standalone seed
review_only,recommendation,word_boundary,review,0,10,0,AI02;AI06;AI09;AI10;AI11;AI12;AI13;AI14;AI15;AI17,AI02:0;AI06:0;AI09:0;AI10:0;AI11:0;AI12:0;AI13:0;AI14:0;AI15:0;AI17:0,recommendation,Literature-discovered but too broad as standalone seed
review_only,algorithmic,word_boundary,review,0,7,0,AI04;AI09;AI14;AI15;AI16;AI17;AI19,AI04:0;AI09:0;AI14:0;AI15:0;AI16:0;AI17:0;AI19:0,algorithmic,Literature-discovered but too broad as standalone seed
ai_activity;ai_methods;ai_technology;ai_workforce;gen_ai,cainet,phrase,medium,1,13,6,STAGE04_WORD2VEC,STAGE04_WORD2VEC:6,AI application;AI integration;AI model;AI models;AI skills;AI tool;Generative AI models;Generative AI technologies;LLM;generative artificial intelligence;large language model;reinforcement learning;supervised learning,Stage 04 Word2Vec reviewed expansion; seed_count=13; best_rank=16; max_similarity=0.720288; mean_similarity=0.678224; review_decision=accept
ai_methods;ai_technology;core_ai;gen_ai,dlrm,phrase,medium,1,12,8,STAGE04_WORD2VEC,STAGE04_WORD2VEC:8,AI model;AI models;GPT-3;GPT-4;Generative AI models;LLM;deep learning;large language model;neural network;neural networks;reinforcement learning;supervised learning,Stage 04 Word2Vec reviewed expansion; seed_count=12; best_rank=5; max_similarity=0.751007; mean_similarity=0.708565; review_decision=accept
ai_activity;ai_exposure;gen_ai,hypermodal,phrase,medium,1,9,5,STAGE04_WORD2VEC,STAGE04_WORD2VEC:5,AI adoption;AI exposure;AI implementation;AI investment;AI investments;AI solutions;Generative AI;Generative AI models;Generative AI technologies,Stage 04 Word2Vec reviewed expansion; seed_count=9; best_rank=19; max_similarity=0.701570; mean_similarity=0.622759; review_decision=accept
ai_workforce;gen_ai,fiverr neo,phrase,medium,1,8,17,STAGE04_WORD2VEC,STAGE04_WORD2VEC:17,AI skills;ChatGPT;GPT-4;Generative AI;Generative AI models;Generative AI technologies;Generative AI technology;Generative AI tools,Stage 04 Word2Vec reviewed expansion; seed_count=8; best_rank=27; max_similarity=0.711854; mean_similarity=0.672261; review_decision=accept
ai_activity;ai_methods;ai_technology;gen_ai,deepsearch,phrase,medium,1,8,6,STAGE04_WORD2VEC,STAGE04_WORD2VEC:6,AI application;AI integration;AI model;AI technology;Generative AI models;Generative AI technologies;NLP;image recognition,Stage 04 Word2Vec reviewed expansion; seed_count=8; best_rank=11; max_similarity=0.704020; mean_similarity=0.665332; review_decision=accept
ai_methods;core_ai,convolutional,phrase,medium,1,7,41,STAGE04_WORD2VEC,STAGE04_WORD2VEC:41,computer vision;deep learning;image recognition;neural network;neural networks;reinforcement learning;supervised learning,Stage 04 Word2Vec reviewed expansion; seed_count=7; best_rank=6; max_similarity=0.756403; mean_similarity=0.703089; review_decision=accept
ai_activity;ai_methods;ai_technology;core_ai;gen_ai,inference-based,phrase,medium,1,7,9,STAGE04_WORD2VEC,STAGE04_WORD2VEC:9,AI applications;AI investments;AI models;Generative AI models;deep learning;neural networks;supervised learning,Stage 04 Word2Vec reviewed expansion; seed_count=7; best_rank=14; max_similarity=0.718267; mean_similarity=0.680559; review_decision=accept
ai_applications;ai_methods;ai_technology;ai_workforce;gen_ai,sec-palm,phrase,medium,1,7,6,STAGE04_WORD2VEC,STAGE04_WORD2VEC:6,AI analyst;AI skills;AI tool;Generative AI models;LLM;LLMs;supervised learning,Stage 04 Word2Vec reviewed expansion; seed_count=7; best_rank=18; max_similarity=0.701772; mean_similarity=0.681028; review_decision=accept
ai_methods;ai_technology;ai_workforce,few-shot,phrase,medium,1,5,9,STAGE04_WORD2VEC,STAGE04_WORD2VEC:9,AI model;AI skills;AI tool;reinforcement learning;supervised learning,Stage 04 Word2Vec reviewed expansion; seed_count=5; best_rank=4; max_similarity=0.728705; mean_similarity=0.683692; review_decision=accept
ai_methods;core_ai,machine-based learning,phrase,medium,1,4,37,STAGE04_WORD2VEC,STAGE04_WORD2VEC:37,artificial intelligence technology;machine learning;reinforcement learning;supervised learning,Stage 04 Word2Vec reviewed expansion; seed_count=4; best_rank=23; max_similarity=0.726642; mean_similarity=0.684602; review_decision=accept
ai_technology;gen_ai,inferentia,phrase,medium,1,4,20,STAGE04_WORD2VEC,STAGE04_WORD2VEC:20,AI application;Generative AI models;LLM;LLMs,Stage 04 Word2Vec reviewed expansion; seed_count=4; best_rank=20; max_similarity=0.718346; mean_similarity=0.685658; review_decision=accept
core_ai,resnet-50,phrase,medium,1,3,27,STAGE04_WORD2VEC,STAGE04_WORD2VEC:27,deep learning;neural network;neural networks,Stage 04 Word2Vec reviewed expansion; seed_count=3; best_rank=14; max_similarity=0.720207; mean_similarity=0.710055; review_decision=accept
gen_ai,trainium,phrase,medium,1,3,19,STAGE04_WORD2VEC,STAGE04_WORD2VEC:19,GPT-3;LLM;LLMs,Stage 04 Word2Vec reviewed expansion; seed_count=3; best_rank=24; max_similarity=0.710547; mean_similarity=0.687567; review_decision=accept
ai_activity;gen_ai,modelops,phrase,medium,1,7,13,STAGE04_WORD2VEC,STAGE04_WORD2VEC:13,AI adoption;AI capabilities;AI implementation;AI integration;AI investment;Generative AI technologies;generative artificial intelligence,Stage 04 Word2Vec reviewed expansion; seed_count=7; best_rank=4; max_similarity=0.691563; mean_similarity=0.623472; review_decision=accept
ai_activity;ai_technology;core_ai;gen_ai,inferencing,phrase,medium,1,5,1103,STAGE04_WORD2VEC,STAGE04_WORD2VEC:1103,AI applications;AI investments;LLMs;deep learning;neural network,Stage 04 Word2Vec reviewed expansion; seed_count=5; best_rank=28; max_similarity=0.741597; mean_similarity=0.663836; review_decision=accept
ai_methods;ai_technology;gen_ai,cailan,phrase,medium,1,5,6,STAGE04_WORD2VEC,STAGE04_WORD2VEC:6,AI application;AI model;Generative AI technologies;reinforcement learning;supervised learning,Stage 04 Word2Vec reviewed expansion; seed_count=5; best_rank=17; max_similarity=0.702530; mean_similarity=0.675289; review_decision=accept
gen_ai,adobe firefly,phrase,medium,1,4,23,STAGE04_WORD2VEC,STAGE04_WORD2VEC:23,ChatGPT;GPT-4;Generative AI models;Generative AI tools,Stage 04 Word2Vec reviewed expansion; seed_count=4; best_rank=17; max_similarity=0.724524; mean_similarity=0.670291; review_decision=accept
gen_ai,bionemo,phrase,medium,1,4,96,STAGE04_WORD2VEC,STAGE04_WORD2VEC:96,GPT-3;GPT-4;Generative AI models;LLM,Stage 04 Word2Vec reviewed expansion; seed_count=4; best_rank=18; max_similarity=0.720676; mean_similarity=0.679814; review_decision=accept
ai_activity;gen_ai,chatgbt,phrase,medium,1,3,13,STAGE04_WORD2VEC,STAGE04_WORD2VEC:13,AI investment;ChatGPT;Generative AI technologies,Stage 04 Word2Vec reviewed expansion; seed_count=3; best_rank=21; max_similarity=0.711356; mean_similarity=0.620243; review_decision=accept
ai_activity;ai_methods,deep recommendators,phrase,medium,1,3,12,STAGE04_WORD2VEC,STAGE04_WORD2VEC:12,AI investments;NLP;supervised learning,Stage 04 Word2Vec reviewed expansion; seed_count=3; best_rank=8; max_similarity=0.685760; mean_similarity=0.617503; review_decision=accept
ai_activity;gen_ai,magnifai,phrase,medium,1,3,27,STAGE04_WORD2VEC,STAGE04_WORD2VEC:27,AI integration;Generative AI technology;Generative AI tools,Stage 04 Word2Vec reviewed expansion; seed_count=3; best_rank=4; max_similarity=0.675293; mean_similarity=0.659974; review_decision=accept
core_ai,ml-based,phrase,medium,1,2,65,STAGE04_WORD2VEC,STAGE04_WORD2VEC:65,artificial intelligence technologies;artificial intelligence technology,Stage 04 Word2Vec reviewed expansion; seed_count=2; best_rank=3; max_similarity=0.748558; mean_similarity=0.714098; review_decision=accept
ai_methods,object detection,phrase,medium,1,2,385,STAGE04_WORD2VEC,STAGE04_WORD2VEC:385,computer vision;image recognition,Stage 04 Word2Vec reviewed expansion; seed_count=2; best_rank=12; max_similarity=0.746688; mean_similarity=0.725208; review_decision=accept
ai_methods,facial recognition,phrase,medium,1,2,1715,STAGE04_WORD2VEC,STAGE04_WORD2VEC:1715,computer vision;image recognition,Stage 04 Word2Vec reviewed expansion; seed_count=2; best_rank=6; max_similarity=0.743760; mean_similarity=0.741410; review_decision=accept
ai_methods,object classification,phrase,medium,1,2,74,STAGE04_WORD2VEC,STAGE04_WORD2VEC:74,computer vision;image recognition,Stage 04 Word2Vec reviewed expansion; seed_count=2; best_rank=17; max_similarity=0.727845; mean_similarity=0.703376; review_decision=accept
ai_methods,optical character,phrase,medium,1,2,215,STAGE04_WORD2VEC,STAGE04_WORD2VEC:215,image recognition;natural language processing,Stage 04 Word2Vec reviewed expansion; seed_count=2; best_rank=9; max_similarity=0.724146; mean_similarity=0.712058; review_decision=accept
ai_methods,speech-to-text,phrase,medium,1,2,101,STAGE04_WORD2VEC,STAGE04_WORD2VEC:101,NLP;natural language processing,Stage 04 Word2Vec reviewed expansion; seed_count=2; best_rank=20; max_similarity=0.720959; mean_similarity=0.672882; review_decision=accept
ai_methods;core_ai,scikit-learn,phrase,medium,1,2,11,STAGE04_WORD2VEC,STAGE04_WORD2VEC:11,deep learning;supervised learning,Stage 04 Word2Vec reviewed expansion; seed_count=2; best_rank=21; max_similarity=0.717532; mean_similarity=0.711293; review_decision=accept
ai_methods;core_ai,anomaly detection,phrase,medium,1,2,405,STAGE04_WORD2VEC,STAGE04_WORD2VEC:405,image recognition;machine learning,Stage 04 Word2Vec reviewed expansion; seed_count=2; best_rank=16; max_similarity=0.714861; mean_similarity=0.705891; review_decision=accept
core_ai,tensor cores,phrase,medium,1,2,60,STAGE04_WORD2VEC,STAGE04_WORD2VEC:60,deep learning;neural network,Stage 04 Word2Vec reviewed expansion; seed_count=2; best_rank=36; max_similarity=0.714129; mean_similarity=0.691006; review_decision=accept
core_ai,cuda,phrase,medium,1,2,1348,STAGE04_WORD2VEC,STAGE04_WORD2VEC:1348,deep learning;neural network,Stage 04 Word2Vec reviewed expansion; seed_count=2; best_rank=26; max_similarity=0.711760; mean_similarity=0.694214; review_decision=accept
gen_ai,kogpt,phrase,medium,1,2,12,STAGE04_WORD2VEC,STAGE04_WORD2VEC:12,LLM;large language model,Stage 04 Word2Vec reviewed expansion; seed_count=2; best_rank=25; max_similarity=0.710207; mean_similarity=0.696195; review_decision=accept
gen_ai,openais,phrase,medium,1,2,6,STAGE04_WORD2VEC,STAGE04_WORD2VEC:6,GPT-3;Generative AI models,Stage 04 Word2Vec reviewed expansion; seed_count=2; best_rank=25; max_similarity=0.708192; mean_similarity=0.686767; review_decision=accept
ai_methods,summarizations,phrase,medium,1,2,11,STAGE04_WORD2VEC,STAGE04_WORD2VEC:11,reinforcement learning;supervised learning,Stage 04 Word2Vec reviewed expansion; seed_count=2; best_rank=13; max_similarity=0.702305; mean_similarity=0.695162; review_decision=accept
core_ai,cublas,phrase,medium,1,2,6,STAGE04_WORD2VEC,STAGE04_WORD2VEC:6,neural network;neural networks,Stage 04 Word2Vec reviewed expansion; seed_count=2; best_rank=32; max_similarity=0.702216; mean_similarity=0.680737; review_decision=accept
ai_activity,ai-focused,phrase,medium,1,2,86,STAGE04_WORD2VEC,STAGE04_WORD2VEC:86,AI adoption;AI investment,Stage 04 Word2Vec reviewed expansion; seed_count=2; best_rank=8; max_similarity=0.563788; mean_similarity=0.534397; review_decision=accept
ai_activity,ai-related,phrase,medium,1,2,550,STAGE04_WORD2VEC,STAGE04_WORD2VEC:550,AI investment;AI investments,Stage 04 Word2Vec reviewed expansion; seed_count=2; best_rank=4; max_similarity=0.548212; mean_similarity=0.544549; review_decision=accept
ai_activity,driving-assist,phrase,medium,1,1,5,STAGE04_WORD2VEC,STAGE04_WORD2VEC:5,Artificial intelligence adoption,Stage 04 Word2Vec reviewed expansion; seed_count=1; best_rank=9; max_similarity=0.761526; mean_similarity=0.761526; review_decision=accept
ai_activity,voicification,phrase,medium,1,1,5,STAGE04_WORD2VEC,STAGE04_WORD2VEC:5,Artificial intelligence adoption,Stage 04 Word2Vec reviewed expansion; seed_count=1; best_rank=10; max_similarity=0.758706; mean_similarity=0.758706; review_decision=accept
ai_activity,robotaxi-type,phrase,medium,1,1,5,STAGE04_WORD2VEC,STAGE04_WORD2VEC:5,Artificial intelligence adoption,Stage 04 Word2Vec reviewed expansion; seed_count=1; best_rank=11; max_similarity=0.757429; mean_similarity=0.757429; review_decision=accept
ai_activity,ml-type,phrase,medium,1,1,6,STAGE04_WORD2VEC,STAGE04_WORD2VEC:6,Artificial intelligence adoption,Stage 04 Word2Vec reviewed expansion; seed_count=1; best_rank=20; max_similarity=0.745792; mean_similarity=0.745792; review_decision=accept
ai_methods,learning-type,phrase,medium,1,1,17,STAGE04_WORD2VEC,STAGE04_WORD2VEC:17,supervised learning,Stage 04 Word2Vec reviewed expansion; seed_count=1; best_rank=6; max_similarity=0.739614; mean_similarity=0.739614; review_decision=accept
ai_technology,gpus,phrase,medium,1,1,7326,STAGE04_WORD2VEC,STAGE04_WORD2VEC:7326,AI applications,Stage 04 Word2Vec reviewed expansion; seed_count=1; best_rank=16; max_similarity=0.713849; mean_similarity=0.713849; review_decision=accept
ai_methods,human-annotated,phrase,medium,1,1,16,STAGE04_WORD2VEC,STAGE04_WORD2VEC:16,supervised learning,Stage 04 Word2Vec reviewed expansion; seed_count=1; best_rank=17; max_similarity=0.711695; mean_similarity=0.711695; review_decision=accept
core_ai,alexnet,phrase,medium,1,1,31,STAGE04_WORD2VEC,STAGE04_WORD2VEC:31,neural network,Stage 04 Word2Vec reviewed expansion; seed_count=1; best_rank=16; max_similarity=0.707917; mean_similarity=0.707917; review_decision=accept
ai_methods,lidar,phrase,medium,1,1,8810,STAGE04_WORD2VEC,STAGE04_WORD2VEC:8810,computer vision,Stage 04 Word2Vec reviewed expansion; seed_count=1; best_rank=25; max_similarity=0.703141; mean_similarity=0.703141; review_decision=accept
ai_methods,denoising,phrase,medium,1,1,5,STAGE04_WORD2VEC,STAGE04_WORD2VEC:5,supervised learning,Stage 04 Word2Vec reviewed expansion; seed_count=1; best_rank=25; max_similarity=0.702670; mean_similarity=0.702670; review_decision=accept
ai_activity,multi-assistant,phrase,medium,1,1,7,STAGE04_WORD2VEC,STAGE04_WORD2VEC:7,AI integration,Stage 04 Word2Vec reviewed expansion; seed_count=1; best_rank=3; max_similarity=0.676544; mean_similarity=0.676544; review_decision=accept
ai_activity,voice-assist,phrase,medium,1,1,8,STAGE04_WORD2VEC,STAGE04_WORD2VEC:8,AI integration,Stage 04 Word2Vec reviewed expansion; seed_count=1; best_rank=5; max_similarity=0.673728; mean_similarity=0.673728; review_decision=accept
ai_activity,vui,phrase,medium,1,1,21,STAGE04_WORD2VEC,STAGE04_WORD2VEC:21,AI integration,Stage 04 Word2Vec reviewed expansion; seed_count=1; best_rank=6; max_similarity=0.671940; mean_similarity=0.671940; review_decision=accept
ai_activity,stla smartcockpit,phrase,medium,1,1,16,STAGE04_WORD2VEC,STAGE04_WORD2VEC:16,AI integration,Stage 04 Word2Vec reviewed expansion; seed_count=1; best_rank=8; max_similarity=0.669980; mean_similarity=0.669980; review_decision=accept
