id,round,sample_type,period_or_case,why_sampled,ai_label,confidence,false_positive,needs_review,notes,year,quarter,company,ticker,date,section,speaker,terms,matched_text,concept_group,priority,sentence,prev_sentence,next_sentence,context_window,candidate_id,document_id,event_id,sentence_id,source_csv,xml_path,term_count,match_count
R01-0011,round01,random,2016-2020,period-stratified random draw from full Stage 05 candidate pool,,,,,,2018,3,Carsales.Com Ltd,CAR.AX,2018-08-21,presentation,"Cameron McIntyre, carsales.com Ltd - MD, CEO &amp; Director",image recognition,Image Recognition,ai_methods,medium,We also recently won an award for our Cyclops Image Recognition products.,"The Private sellers now are able to provide personalized advertising campaigns that we marketed through social channels for them, and that was very well received and it actually won several awards, which was terrific.","We're awarded the Best Internal Innovation by the AFR a couple of months ago, and that was nice recognition as well.","The Private sellers now are able to provide personalized advertising campaigns that we marketed through social channels for them, and that was very well received and it actually won several awards, which was terrific. [SEP] We also recently won an award for our Cyclops Image Recognition products. [SEP] We're awarded the Best Internal Innovation by the AFR a couple of months ago, and that was nice recognition as well.",11590152__11590152_presentation_00174,11590152,11590152,11590152_presentation_00174,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2018\transcript_sentences.csv,Data_Conference call transcripts\2018\11590152_T.xml,1,1
R01-0012,round01,likely_ai,2001-2015,strong AI term matched; enrich likely positive examples,,,,,,2015,1,Infosys Ltd,INFY.NSE,2015-03-04,qa,"Vishal Sikka, Infosys Limited - CEO, Managing Director",artificial intelligence,artificial intelligence,core_ai,high,"And we have been exercising that as well in new areas like artificial intelligence and design-thinking and so on, where we have established new classes in the last few months.","And therefore, all the skills that are necessary for the future, if we are focused on what it will take to get those, we can in fact teach people those.","I mean, I learned yesterday that 12,300 people have been trained on design-thinking in the new design-thinking class that we put up there in October since October.","And therefore, all the skills that are necessary for the future, if we are focused on what it will take to get those, we can in fact teach people those. [SEP] And we have been exercising that as well in new areas like artificial intelligence and design-thinking and so on, where we have established new classes in the last few months. [SEP] I mean, I learned yesterday that 12,300 people have been trained on design-thinking in the new design-thinking class that we put up there in October since October.",5613171__5613171_qa_00020,5613171,5613171,5613171_qa_00020,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2015\transcript_sentences.csv,Data_Conference call transcripts\2015\5613171_T.xml,1,1
R01-0013,round01,likely_ai,2023-2024,strong AI term matched; enrich likely positive examples,,,,,,2023,3,Dun & Bradstreet Holdings Inc,DNB.N,2023-07-12,presentation,"Gary Kotovets, Dun &amp; Bradstreet Holdings, Inc. - Chief Data &amp; Analytics Officer",AI model;gen ai,AI model;gen AI,ai_technology;ai_activity;ai_methods;ai_technology;ai_workforce;automation_robotics;core_ai;gen_ai,medium,"That means that when I create or use the models to provide me the answer, I can see all the way the connection from the right to the left, so to speak, where that answer came from and so that I can easily verify whether the answer that the gen AI model produced is accurate, and I can trust it, most importantly.",So what does that mean?,"The second very important component that we created was a security, legal compliance and ethics, what we call, guardrails.","So what does that mean? [SEP] That means that when I create or use the models to provide me the answer, I can see all the way the connection from the right to the left, so to speak, where that answer came from and so that I can easily verify whether the answer that the gen AI model produced is accurate, and I can trust it, most importantly. [SEP] The second very important component that we created was a security, legal compliance and ethics, what we call, guardrails.",15657791__15657791_presentation_00050,15657791,15657791,15657791_presentation_00050,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2023\transcript_sentences.csv,Data_Conference call transcripts\2023\15657791_T.xml,2,2
R01-0014,round01,likely_ai,2023-2024,strong AI term matched; enrich likely positive examples,,,,,,2023,2,LivePerson Inc,LPSN.OQ,2023-05-09,presentation,"Robert P. LoCascio, LivePerson, Inc. - Founder, Chairman of the Board, CEO &amp; President",ai-generated;AI models,AI-generated;AI models,ai_technology,medium,Most AI models are trained with tens of thousands of AI-generated conversations labeled by employees or freelancers.,We believe that generative AI will significantly accelerate our existing traction in delivering high-quality automation and business outcomes to the enterprise.,"LivePerson hosts billions of conversations with our enterprises and consumer conversations with the input of 350,000 live experts on our platform, coupled with 250,000 API endpoints that enable not only engagements, but also transactions, this approach is imperative to enable generative AI in the enterprise.","We believe that generative AI will significantly accelerate our existing traction in delivering high-quality automation and business outcomes to the enterprise. [SEP] Most AI models are trained with tens of thousands of AI-generated conversations labeled by employees or freelancers. [SEP] LivePerson hosts billions of conversations with our enterprises and consumer conversations with the input of 350,000 live experts on our platform, coupled with 250,000 API endpoints that enable not only engagements, but also transactions, this approach is imperative to enable generative AI in the enterprise.",15562770__15562770_presentation_00042,15562770,15562770,15562770_presentation_00042,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2023\transcript_sentences.csv,Data_Conference call transcripts\2023\15562770_T.xml,2,2
R01-0015,round01,likely_ai,2016-2020,strong AI term matched; enrich likely positive examples,,,,,,2017,3,Lenovo Group Ltd,992.HK,2017-08-18,presentation,"Wai Ming Wong, Lenovo Group Limited - Executive VP &amp; CFO",artificial intelligence,artificial intelligence,core_ai,high,"Indeed, we have already attracted some industry top talents, including Dr. Hans Uszkoreit and Dr. Xu Feiyu to join Lenovo to help develop our artificial intelligence capability.",We'll continue to invest in technology.,"Despite challenging market conditions in the short term, the group now has reached a turning point with stronger and better customer-focused organization and a more compelling product portfolio across all our businesses, enabling us to address more market opportunities.","We'll continue to invest in technology. [SEP] Indeed, we have already attracted some industry top talents, including Dr. Hans Uszkoreit and Dr. Xu Feiyu to join Lenovo to help develop our artificial intelligence capability. [SEP] Despite challenging market conditions in the short term, the group now has reached a turning point with stronger and better customer-focused organization and a more compelling product portfolio across all our businesses, enabling us to address more market opportunities.",10821135__10821135_presentation_00120,10821135,10821135,10821135_presentation_00120,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2017\transcript_sentences.csv,Data_Conference call transcripts\2017\10821135_T.xml,1,1
R01-0016,round01,likely_ai,2016-2020,strong AI term matched; enrich likely positive examples,,,,,,2018,4,Yext Inc,YEXT.N,2018-10-24,qa,"Marc Ferrentino, Yext, Inc. - Chief Strategy Officer",natural language processing,natural language processing,ai_methods,high,"The difficulty lies actually not in a lot of the natural language processing per se, not in the sort of taking a sentence and breaking it up into pieces, understanding intent and understanding the energy.","What's also interesting is that, as we start to explore conversational interfaces and sort of where the difficulty is in creating a conversational interface.","That's actually quite straightforward, believe it or not, even though that probably sounds like the fancy part.","What's also interesting is that, as we start to explore conversational interfaces and sort of where the difficulty is in creating a conversational interface. [SEP] The difficulty lies actually not in a lot of the natural language processing per se, not in the sort of taking a sentence and breaking it up into pieces, understanding intent and understanding the energy. [SEP] That's actually quite straightforward, believe it or not, even though that probably sounds like the fancy part.",12631702__12631702_qa_00291,12631702,12631702,12631702_qa_00291,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2018\transcript_sentences.csv,Data_Conference call transcripts\2018\12631702_T.xml,1,1
R01-0017,round01,random,2023-2024,period-stratified random draw from full Stage 05 candidate pool,,,,,,2023,4,Asana Inc,ASAN.N,2023-12-05,presentation,"Dustin Moskovitz, Asana Inc - Co-Founder &amp; CEO",openai,OpenAI,ai_activity;gen_ai,medium,"Notably, we're also seeing adoption of Asana within leading AI companies like Anthropic, OpenAI, and Alignment Research Center.","We also recently hosted an Asana Intelligence training event with over 1,500 people from leading organizations in industries such as media, transportation, education, food and beverage, and, of course, tech, illustrating how broad interest in Asana Intelligence is growing.","Our new packaging strategy, introduced at our Investor Day in October and launched less than a month ago, will further adoption of AI and help on-ramp customers to our advanced and enterprise tiers.","We also recently hosted an Asana Intelligence training event with over 1,500 people from leading organizations in industries such as media, transportation, education, food and beverage, and, of course, tech, illustrating how broad interest in Asana Intelligence is growing. [SEP] Notably, we're also seeing adoption of Asana within leading AI companies like Anthropic, OpenAI, and Alignment Research Center. [SEP] Our new packaging strategy, introduced at our Investor Day in October and launched less than a month ago, will further adoption of AI and help on-ramp customers to our advanced and enterprise tiers.",15792639__15792639_presentation_00057,15792639,15792639,15792639_presentation_00057,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2023\transcript_sentences.csv,Data_Conference call transcripts\2023\15792639_T.xml,1,1
R01-0018,round01,likely_ai,2016-2020,strong AI term matched; enrich likely positive examples,,,,,,2018,1,Nutanix Inc,NTNX,2018-03-12,presentation,"Sunil Potti, Nutanix, Inc. - Chief Product &amp; Development Officer",machine learning,machine learning,core_ai,high,And that's why you're going to see a lot of investments continue inside Nutanix around machine learning to actually have the system itself operate itself.,"And converging operations is just not about making user interfaces simple, it's about what we are calling internally, the best interface is where there's no interface.","But then, on top of that, we've got Calm for marketplace and automation, but one of the fundamental things that we've had customers come to us all the time is independent of whether they consume Nutanix or not.","And converging operations is just not about making user interfaces simple, it's about what we are calling internally, the best interface is where there's no interface. [SEP] And that's why you're going to see a lot of investments continue inside Nutanix around machine learning to actually have the system itself operate itself. [SEP] But then, on top of that, we've got Calm for marketplace and automation, but one of the fundamental things that we've had customers come to us all the time is independent of whether they consume Nutanix or not.",11415433__11415433_presentation_00979,11415433,11415433,11415433_presentation_00979,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2018\transcript_sentences.csv,Data_Conference call transcripts\2018\11415433_T.xml,1,1
R01-0019,round01,random,2023-2024,period-stratified random draw from full Stage 05 candidate pool,,,,,,2024,1,Bank of America Corp,BAC.N,2024-01-12,qa,"Brian Thomas Moynihan, Bank of America Corporation - Chairman, CEO &amp; President",AI,AI,core_ai,medium,"So we think that there's vast promise for AI, and we're deploying in places, a lot of internal stuff -- we help employees work better, work faster.","But think of 170 million phone calls, walks into branches, e-mails, et cetera, where inquiry would have to go through another place, and it's able the clients to do things and find them.",We're doing it.,"But think of 170 million phone calls, walks into branches, e-mails, et cetera, where inquiry would have to go through another place, and it's able the clients to do things and find them. [SEP] So we think that there's vast promise for AI, and we're deploying in places, a lot of internal stuff -- we help employees work better, work faster. [SEP] We're doing it.",15777623__15777623_qa_00668,15777623,15777623,15777623_qa_00668,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2024\transcript_sentences.csv,Data_Conference call transcripts\2024\15777623_T.xml,1,1
R01-0020,round01,random,2016-2020,period-stratified random draw from full Stage 05 candidate pool,,,,,,2018,3,NVIDIA Corp,NVDA,2018-08-16,presentation,"Colette M. Kress, NVIDIA Corporation - Executive VP &amp; CFO",AI,AI,core_ai,medium,"Jetson Xavier establishes customers to deliver AI computing at the edge, powering autonomous machines like robots or drones with applications in manufacturing, logistics, retail, agricultural, health care and more.","With more than 9 billion transistors, it delivers over 30 trillion operations per second, more processing capability than a powerful workstation while using 1/3 the energy of a lightbulb.","Lastly, in our OEM segment, revenue declined by 54% year-on-year and 70% sequentially.","With more than 9 billion transistors, it delivers over 30 trillion operations per second, more processing capability than a powerful workstation while using 1/3 the energy of a lightbulb. [SEP] Jetson Xavier establishes customers to deliver AI computing at the edge, powering autonomous machines like robots or drones with applications in manufacturing, logistics, retail, agricultural, health care and more. [SEP] Lastly, in our OEM segment, revenue declined by 54% year-on-year and 70% sequentially.",11643282__11643282_presentation_00119,11643282,11643282,11643282_presentation_00119,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2018\transcript_sentences.csv,Data_Conference call transcripts\2018\11643282_T.xml,1,1
R01-0021,round01,random,2023-2024,period-stratified random draw from full Stage 05 candidate pool,,,,,,2023,2,Cricut Inc,CRCT.OQ,2023-06-07,qa,"Ashish Arora, Cricut, Inc. - President &amp; CEO",AI,AI,core_ai,medium,"I know I've answered for a while, but let me just quickly talk about AI.","And I'm really proud of the team and everything that we are doing to simplify the design, simplify the product, and ultimately enable the community to help each other.","So we've used, there's two broad classes of AI.","And I'm really proud of the team and everything that we are doing to simplify the design, simplify the product, and ultimately enable the community to help each other. [SEP] I know I've answered for a while, but let me just quickly talk about AI. [SEP] So we've used, there's two broad classes of AI.",15611679__15611679_qa_00113,15611679,15611679,15611679_qa_00113,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2023\transcript_sentences.csv,Data_Conference call transcripts\2023\15611679_T.xml,1,1
R01-0022,round01,hard_case,weak_or_noisy_terms,weak or generic technology term; likely hard negative,,,,,,2023,3,Novanta Inc,NOVT.OQ,2023-08-08,presentation,"Robert J. Buckley, Novanta Inc. - CFO",robotics,robotics,automation_robotics,medium,"Precision Medicine and Manufacturing segment gross margin is expected to increase moderately from the second quarter, whereas robotics and automation and Medical Solutions segments are expected to be flat sequentially.","Moving on to overall Novanta's gross margin, we expect gross margin in the third quarter to be approximately 46.5 to 47.5%, which is up year-over-year. and be roughly flat sequentially.","In the full year of 2023, we expect adjusted gross margins to be approximately 46.5% to 47%.","Moving on to overall Novanta's gross margin, we expect gross margin in the third quarter to be approximately 46.5 to 47.5%, which is up year-over-year. and be roughly flat sequentially. [SEP] Precision Medicine and Manufacturing segment gross margin is expected to increase moderately from the second quarter, whereas robotics and automation and Medical Solutions segments are expected to be flat sequentially. [SEP] In the full year of 2023, we expect adjusted gross margins to be approximately 46.5% to 47%.",15658256__15658256_presentation_00183,15658256,15658256,15658256_presentation_00183,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2023\transcript_sentences.csv,Data_Conference call transcripts\2023\15658256_T.xml,1,1
R01-0023,round01,likely_ai,2001-2015,strong AI term matched; enrich likely positive examples,,,,,,2014,4,Rocket Fuel Inc,FUEL,2014-12-03,presentation,"George John, Rocket Fuel, Inc. - CEO",machine learning,machine learning,core_ai,high,"When you have a machine learning business, you do see these flywheels actually kind of, the rich get richer because just by being in business, we're getting more and more data, that data allows us to be better at what we do, being better what we do brings more business and so forth.","Plus in this machine learning world, there is a professor at Stanford business school, Susan Athey, who has written about this.",So it is very hard to have catch from behind.,"Plus in this machine learning world, there is a professor at Stanford business school, Susan Athey, who has written about this. [SEP] When you have a machine learning business, you do see these flywheels actually kind of, the rich get richer because just by being in business, we're getting more and more data, that data allows us to be better at what we do, being better what we do brings more business and so forth. [SEP] So it is very hard to have catch from behind.",5545219__5545219_presentation_00055,5545219,5545219,5545219_presentation_00055,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2014\transcript_sentences.csv,Data_Conference call transcripts\2014\5545219_T.xml,1,1
R01-0024,round01,random,2016-2020,period-stratified random draw from full Stage 05 candidate pool,,,,,,2017,3,Fosun International Ltd,656.HK,2017-08-31,qa,"Qunbin Wang, Fosun International Limited - CEO &amp; Executive Director",AI,AI,core_ai,medium,"The second type is, for example, AI, big data, cloud computing, Internet, with these technologies, products and services can be better connected to the C-end.","So in health, wealth and happiness ecosystems, there will be the use of technology in this way.","They can interact better with the C-end, so that the C-end customers will enjoy better experience.","So in health, wealth and happiness ecosystems, there will be the use of technology in this way. [SEP] The second type is, for example, AI, big data, cloud computing, Internet, with these technologies, products and services can be better connected to the C-end. [SEP] They can interact better with the C-end, so that the C-end customers will enjoy better experience.",10889501__10889501_qa_00234,10889501,10889501,10889501_qa_00234,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2017\transcript_sentences.csv,Data_Conference call transcripts\2017\10889501_T.xml,1,1
R01-0025,round01,random,2023-2024,period-stratified random draw from full Stage 05 candidate pool,,,,,,2023,3,Amgen Inc,AMGN.OQ,2023-09-14,presentation,"Peter H. Griffith, Amgen Inc. - Executive EVP &amp; CFO",artificial intelligence,artificial intelligence,core_ai,high,"Finally, we continue to execute on multiple capital allocation priorities in the second quarter investing over $1 billion in internal innovation, investing $300 million in capital expenditures [including] (corrected by company after the call) any number of artificial intelligence use cases and increasing our dividend by 10% year-over-year.","We're excited about our recent initiation of a pivotal study evaluating ABP 206 with OPDIVO, 1 of 6 planned new biosimilars.","So Dan, we're creating value for patients, staff and shareholders well positioned on any number of fronts to deliver long-term growth through driving the successful integration with Horizon based on that great strategic fit driving the best innovation in our pipeline and driving results as we did in the second quarter with record revenue and record non-GAAP earnings per share.","We're excited about our recent initiation of a pivotal study evaluating ABP 206 with OPDIVO, 1 of 6 planned new biosimilars. [SEP] Finally, we continue to execute on multiple capital allocation priorities in the second quarter investing over $1 billion in internal innovation, investing $300 million in capital expenditures [including] (corrected by company after the call) any number of artificial intelligence use cases and increasing our dividend by 10% year-over-year. [SEP] So Dan, we're creating value for patients, staff and shareholders well positioned on any number of fronts to deliver long-term growth through driving the successful integration with Horizon based on that great strategic fit driving the best innovation in our pipeline and driving results as we did in the second quarter with record revenue and record non-GAAP earnings per share.",15738071__15738071_presentation_00062,15738071,15738071,15738071_presentation_00062,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2023\transcript_sentences.csv,Data_Conference call transcripts\2023\15738071_T.xml,1,1
R01-0026,round01,random,2001-2015,period-stratified random draw from full Stage 05 candidate pool,,,,,,2015,4,Pilgrims Pride Corp,PPC,2015-10-29,qa,"William W. Lovette, Pilgrims Pride - President, CEO",AI,AI,core_ai,medium,"Yeah, so I think the AI security cost is really not really significant or material.","When you look at stepped up security expenses going into the back half of the year as well as the plant maintenance costs that seem to be discussed in your prepared statements, could you talk about individually those two cost items as well as whether you see ongoing cost or additional costs from maintenance and AI security going into next year?",We were already doing a lot of that.,"When you look at stepped up security expenses going into the back half of the year as well as the plant maintenance costs that seem to be discussed in your prepared statements, could you talk about individually those two cost items as well as whether you see ongoing cost or additional costs from maintenance and AI security going into next year? [SEP] Yeah, so I think the AI security cost is really not really significant or material. [SEP] We were already doing a lot of that.",5832925__5832925_qa_00321,5832925,5832925,5832925_qa_00321,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2015\transcript_sentences.csv,Data_Conference call transcripts\2015\5832925_T.xml,1,1
