"candidate_term","candidate_token","neighbor_count","seed_count","seed_terms","concept_groups","query_statuses","best_rank","max_similarity","mean_similarity","review_decision","include_v2","review_notes","review_priority","suggested_review_group","auto_screen_confidence","auto_screen_reason"
"language-centric","language-centric","18","5","AI integration;AI technologies;AI technology;artificial intelligence technologies;artificial intelligence technology","ai_activity;ai_technology;core_ai","exact_key","22","0.724961","0.686386","reject","0","auto_screen_confidence=medium; auto_screen_reason=multi_seed_support_needs_domain_review | manual_review=reject_user_list","2","maybe_2_multi_seed_support","medium","multi_seed_support_needs_domain_review"
"conversational","conversational","2051","4","AI capabilities;Generative AI;NLP;natural language processing","ai_activity;ai_methods;gen_ai","exact_key","11","0.737245","0.690256","reject","0","auto_screen_confidence=medium; auto_screen_reason=multi_seed_support_needs_domain_review | manual_review=reject_user_list","2","maybe_2_multi_seed_support","medium","multi_seed_support_needs_domain_review"
"cugraph","cugraph","5","4","deep learning;neural network;neural networks;supervised learning","ai_methods;core_ai","exact_key","7","0.735209","0.709621","reject","0","auto_screen_confidence=medium; auto_screen_reason=multi_seed_support_needs_domain_review | manual_review=reject_user_list","2","maybe_2_multi_seed_support","medium","multi_seed_support_needs_domain_review"
"machine-based learning","machine-based_learning","37","4","artificial intelligence technology;machine learning;reinforcement learning;supervised learning","ai_methods;core_ai","exact_key","23","0.726642","0.684602","accept","1","auto_screen_confidence=medium; auto_screen_reason=multi_seed_support_needs_domain_review | manual_review=accept_user_list","2","maybe_2_multi_seed_support","medium","multi_seed_support_needs_domain_review"
"data-center-scale","data-center-scale","5","4","GPT-3;deep learning;neural networks;reinforcement learning","ai_methods;core_ai;gen_ai","exact_key","31","0.722570","0.686366","reject","0","auto_screen_confidence=medium; auto_screen_reason=multi_seed_support_needs_domain_review | manual_review=reject_user_list","2","maybe_2_multi_seed_support","medium","multi_seed_support_needs_domain_review"
"inferentia","inferentia","20","4","AI application;Generative AI models;LLM;LLMs","ai_technology;gen_ai","exact_key","20","0.718346","0.685658","accept","1","auto_screen_confidence=medium; auto_screen_reason=multi_seed_support_needs_domain_review | manual_review=accept_user_list","2","maybe_2_multi_seed_support","medium","multi_seed_support_needs_domain_review"
"resnet-50","resnet-50","27","3","deep learning;neural network;neural networks","core_ai","exact_key","14","0.720207","0.710055","accept","1","auto_screen_confidence=medium; auto_screen_reason=multi_seed_support_needs_domain_review | manual_review=accept_user_list","2","maybe_2_multi_seed_support","medium","multi_seed_support_needs_domain_review"
"trainium","trainium","19","3","GPT-3;LLM;LLMs","gen_ai","exact_key","24","0.710547","0.687567","accept","1","auto_screen_confidence=medium; auto_screen_reason=multi_seed_support_needs_domain_review | manual_review=accept_user_list","2","maybe_2_multi_seed_support","medium","multi_seed_support_needs_domain_review"
"linear algebra","linear_algebra","47","3","neural network;neural networks;supervised learning","ai_methods;core_ai","exact_key","22","0.705959","0.689966","reject","0","auto_screen_confidence=medium; auto_screen_reason=multi_seed_support_needs_domain_review | manual_review=reject_user_list","2","maybe_2_multi_seed_support","medium","multi_seed_support_needs_domain_review"
"modelops","modelops","13","7","AI adoption;AI capabilities;AI implementation;AI integration;AI investment;Generative AI technologies;generative artificial intelligence","ai_activity;gen_ai","exact_key","4","0.691563","0.623472","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"inferencing","inferencing","1103","5","AI applications;AI investments;LLMs;deep learning;neural network","ai_activity;ai_technology;core_ai;gen_ai","exact_key","28","0.741597","0.663836","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"cailan","cailan","6","5","AI application;AI model;Generative AI technologies;reinforcement learning;supervised learning","ai_methods;ai_technology;gen_ai","exact_key","17","0.702530","0.675289","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"adobe firefly","adobe_firefly","23","4","ChatGPT;GPT-4;Generative AI models;Generative AI tools","gen_ai","exact_key","17","0.724524","0.670291","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"bionemo","bionemo","96","4","GPT-3;GPT-4;Generative AI models;LLM","gen_ai","exact_key","18","0.720676","0.679814","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"human-machine","human-machine","17","4","AI integration;AI skills;artificial intelligence technologies;artificial intelligence technology","ai_activity;ai_workforce;core_ai","exact_key","2","0.679864","0.673798","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"recommendators","recommendators","9","4","AI adoption;AI application;AI investment;AI investments","ai_activity;ai_technology","exact_key","2","0.638370","0.594535","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"chatgbt","chatgbt","13","3","AI investment;ChatGPT;Generative AI technologies","ai_activity;gen_ai","exact_key","21","0.711356","0.620243","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"python-based","python-based","7","3","AI skills;GPT-4;supervised learning","ai_methods;ai_workforce;gen_ai","exact_key","14","0.711051","0.676566","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"deep recommendators","deep_recommendators","12","3","AI investments;NLP;supervised learning","ai_activity;ai_methods","exact_key","8","0.685760","0.617503","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"magnifai","magnifai","27","3","AI integration;Generative AI technology;Generative AI tools","ai_activity;gen_ai","exact_key","4","0.675293","0.659974","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"hyper-conversion","hyper-conversion","5","2","AI exposure;Artificial intelligence adoption","ai_activity;ai_exposure","exact_key","12","0.753960","0.725896","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"ml-based","ml-based","65","2","artificial intelligence technologies;artificial intelligence technology","core_ai","exact_key","3","0.748558","0.714098","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"object detection","object_detection","385","2","computer vision;image recognition","ai_methods","exact_key","12","0.746688","0.725208","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"facial recognition","facial_recognition","1715","2","computer vision;image recognition","ai_methods","exact_key","6","0.743760","0.741410","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"diimos","diimos","9","2","AI implementation;Artificial intelligence adoption","ai_activity","exact_key","20","0.736383","0.672762","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"insights-as-a-service","insights-as-a-service","5","2","Artificial intelligence adoption;artificial intelligence technologies","ai_activity;core_ai","exact_key","29","0.731204","0.704449","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"statistics-based","statistics-based","10","2","machine learning;reinforcement learning","ai_methods;core_ai","exact_key","35","0.728375","0.691627","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"object classification","object_classification","74","2","computer vision;image recognition","ai_methods","exact_key","17","0.727845","0.703376","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"optical character","optical_character","215","2","image recognition;natural language processing","ai_methods","exact_key","9","0.724146","0.712058","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"speech-to-text","speech-to-text","101","2","NLP;natural language processing","ai_methods","exact_key","20","0.720959","0.672882","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"scikit-learn","scikit-learn","11","2","deep learning;supervised learning","ai_methods;core_ai","exact_key","21","0.717532","0.711293","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"anomaly detection","anomaly_detection","405","2","image recognition;machine learning","ai_methods;core_ai","exact_key","16","0.714861","0.705891","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"tensor cores","tensor_cores","60","2","deep learning;neural network","core_ai","exact_key","36","0.714129","0.691006","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"cuda","cuda","1348","2","deep learning;neural network","core_ai","exact_key","26","0.711760","0.694214","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"kogpt","kogpt","12","2","LLM;large language model","gen_ai","exact_key","25","0.710207","0.696195","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"openais","openais","6","2","GPT-3;Generative AI models","gen_ai","exact_key","25","0.708192","0.686767","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"bots","bots","3412","2","AI tools;robotic process automation","ai_technology;automation_robotics","exact_key","10","0.707851","0.692631","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"summarizations","summarizations","11","2","reinforcement learning;supervised learning","ai_methods","exact_key","13","0.702305","0.695162","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"cublas","cublas","6","2","neural network;neural networks","core_ai","exact_key","32","0.702216","0.680737","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"chat bots","chat_bots","318","2","natural language processing;robotic process automation","ai_methods;automation_robotics","exact_key","11","0.700791","0.690338","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"arbguard","arbguard","19","2","AI integration;AI tool","ai_activity;ai_technology","exact_key","7","0.671153","0.654356","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"piece-picking","piece-picking","6","2","artificial intelligence technology;robotics","automation_robotics;core_ai","exact_key","10","0.669587","0.663868","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"straight-through processing","straight-through_processing","1172","2","automated underwriting;robotic process automation","ai_applications;automation_robotics","exact_key","2","0.663854","0.657153","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"dev secops","dev_secops","11","2","AI adoption;AI implementation","ai_activity","exact_key","1","0.656453","0.608627","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"ai-focused","ai-focused","86","2","AI adoption;AI investment","ai_activity","exact_key","8","0.563788","0.534397","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"ai-related","ai-related","550","2","AI investment;AI investments","ai_activity","exact_key","4","0.548212","0.544549","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"mcvp","mcvp","5","1","Artificial intelligence adoption","ai_activity","exact_key","1","0.792605","0.792605","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"rpa","rpa","4109","1","robotic process automation","automation_robotics","exact_key","1","0.788266","0.788266","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"c-a-s-e","c-a-s-e","5","1","Artificial intelligence adoption","ai_activity","exact_key","2","0.769927","0.769927","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"open-technology","open-technology","5","1","Artificial intelligence adoption","ai_activity","exact_key","3","0.767448","0.767448","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"computing-driven","computing-driven","5","1","Artificial intelligence adoption","ai_activity","exact_key","4","0.766451","0.766451","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"competitive-edge","competitive-edge","6","1","Artificial intelligence adoption","ai_activity","exact_key","5","0.766446","0.766446","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"autonomy-related","autonomy-related","5","1","Artificial intelligence adoption","ai_activity","exact_key","6","0.765359","0.765359","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"xaas","xaas","6","1","Artificial intelligence adoption","ai_activity","exact_key","7","0.763831","0.763831","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"sensor-agnostic","sensor-agnostic","9","1","Artificial intelligence adoption","ai_activity","exact_key","8","0.761708","0.761708","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"driving-assist","driving-assist","5","1","Artificial intelligence adoption","ai_activity","exact_key","9","0.761526","0.761526","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"voicification","voicification","5","1","Artificial intelligence adoption","ai_activity","exact_key","10","0.758706","0.758706","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"robotaxi-type","robotaxi-type","5","1","Artificial intelligence adoption","ai_activity","exact_key","11","0.757429","0.757429","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"rpas","rpas","151","1","robotic process automation","automation_robotics","exact_key","2","0.753564","0.753564","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"future-connected","future-connected","5","1","Artificial intelligence adoption","ai_activity","exact_key","13","0.753388","0.753388","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"software-integrated","software-integrated","6","1","Artificial intelligence adoption","ai_activity","exact_key","14","0.752453","0.752453","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"cross-vehicle","cross-vehicle","6","1","Artificial intelligence adoption","ai_activity","exact_key","15","0.751847","0.751847","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"zonal-based","zonal-based","5","1","Artificial intelligence adoption","ai_activity","exact_key","16","0.751670","0.751670","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"self-growing","self-growing","6","1","Artificial intelligence adoption","ai_activity","exact_key","17","0.751541","0.751541","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"eco-platform","eco-platform","7","1","Artificial intelligence adoption","ai_activity","exact_key","18","0.751197","0.751197","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"sensor fusion","sensor_fusion","951","1","computer vision","ai_methods","exact_key","11","0.748416","0.748416","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"electronization","electronization","6","1","Artificial intelligence adoption","ai_activity","exact_key","19","0.747237","0.747237","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"ml-type","ml-type","6","1","Artificial intelligence adoption","ai_activity","exact_key","20","0.745792","0.745792","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"connectivity-as-a-service","connectivity-as-a-service","5","1","Artificial intelligence adoption","ai_activity","exact_key","21","0.744191","0.744191","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"auto-qualify","auto-qualify","5","1","Artificial intelligence adoption","ai_activity","exact_key","22","0.742436","0.742436","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"drivetrain-agnostic","drivetrain-agnostic","5","1","Artificial intelligence adoption","ai_activity","exact_key","23","0.741884","0.741884","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"hyperscale-like","hyperscale-like","7","1","Artificial intelligence adoption","ai_activity","exact_key","24","0.740288","0.740288","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"learning-type","learning-type","17","1","supervised learning","ai_methods","exact_key","6","0.739614","0.739614","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"e02","e02","7","1","Artificial intelligence adoption","ai_activity","exact_key","25","0.738553","0.738553","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"future-defining","future-defining","11","1","Artificial intelligence adoption","ai_activity","exact_key","26","0.737879","0.737879","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"autoscript","autoscript","5","1","Artificial intelligence adoption","ai_activity","exact_key","27","0.736717","0.736717","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"battery-centric","battery-centric","9","1","Artificial intelligence adoption","ai_activity","exact_key","28","0.736501","0.736501","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"visibilityiq","visibilityiq","5","1","Artificial intelligence adoption","ai_activity","exact_key","30","0.735987","0.735987","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"automations","automations","1263","1","robotic process automation","automation_robotics","exact_key","4","0.733401","0.733401","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"compute-intensive","compute-intensive","223","1","AI applications","ai_technology","exact_key","13","0.728641","0.728641","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"victor acitores societe generale","victor_acitores_societe_generale","18","1","AI exposure","ai_exposure","exact_key","1","0.726747","0.726747","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"fin11","fin11","7","1","AI analyst","ai_applications","exact_key","1","0.720324","0.720324","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"carl-emil johannessen pareto","carl-emil_johannessen_pareto","12","1","AI exposure","ai_exposure","exact_key","2","0.719034","0.719034","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"kukai","kukai","5","1","supervised learning","ai_methods","exact_key","15","0.716576","0.716576","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"gpus","gpus","7326","1","AI applications","ai_technology","exact_key","16","0.713849","0.713849","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"gustavo gattass btg","gustavo_gattass_btg","13","1","AI exposure","ai_exposure","exact_key","3","0.712503","0.712503","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"human-annotated","human-annotated","16","1","supervised learning","ai_methods","exact_key","17","0.711695","0.711695","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
"data-center-focused","data-center-focused","5","1","AI exposure","ai_exposure","exact_key","4","0.710666","0.710666","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","3","maybe_3_high_similarity_or_rank","low","manual_review_needed"
