candidate_term,candidate_token,neighbor_count,seed_count,seed_terms,concept_groups,query_statuses,best_rank,max_similarity,mean_similarity,review_decision,include_v2,review_notes
cainet,cainet,6,13,AI application;AI integration;AI model;AI models;AI skills;AI tool;Generative AI models;Generative AI technologies;LLM;generative artificial intelligence;large language model;reinforcement learning;supervised learning,ai_activity;ai_methods;ai_technology;ai_workforce;gen_ai,exact_key,16,0.720288,0.678224,,,
conversational ai,conversational_ai,940,12,AI capabilities;AI solutions;AI technologies;AI technology;Generative AI;Generative AI technology;NLP;artificial intelligence;generative artificial intelligence;large language models;natural language processing;robotic process automation,ai_activity;ai_methods;ai_technology;automation_robotics;core_ai;gen_ai,exact_key,6,0.772963,0.702021,,,
dlrm,dlrm,8,12,AI model;AI models;GPT-3;GPT-4;Generative AI models;LLM;deep learning;large language model;neural network;neural networks;reinforcement learning;supervised learning,ai_methods;ai_technology;core_ai;gen_ai,exact_key,5,0.751007,0.708565,,,
natural-language,natural-language,11,12,AI technologies;AI technology;NLP;artificial intelligence;artificial intelligence technologies;artificial intelligence technology;computer vision;deep learning;image recognition;machine learning;natural language processing;supervised learning,ai_methods;ai_technology;core_ai,exact_key,11,0.728972,0.697694,,,
cognitive computing,cognitive_computing,325,11,AI capabilities;AI technologies;AI tools;Generative AI;artificial intelligence;artificial intelligence technologies;artificial intelligence technology;generative artificial intelligence;machine learning;natural language processing;robotic process automation,ai_activity;ai_methods;ai_technology;automation_robotics;core_ai;gen_ai,exact_key,8,0.802353,0.706436,,,
domain-specific,domain-specific,482,11,AI application;AI applications;AI models;AI skills;AI solutions;Generative AI;LLM;LLMs;large language model;large language models;neural networks,ai_activity;ai_technology;ai_workforce;core_ai;gen_ai,exact_key,19,0.721814,0.693930,,,
neural nets,neural_nets,118,10,AI model;AI models;computer vision;deep learning;image recognition;large language models;neural network;neural networks;reinforcement learning;supervised learning,ai_methods;ai_technology;core_ai;gen_ai,exact_key,4,0.790112,0.712332,,,
xgboost,xgboost,19,10,AI model;AI models;GPT-3;GPT-4;deep learning;image recognition;neural network;neural networks;reinforcement learning;supervised learning,ai_methods;ai_technology;core_ai;gen_ai,exact_key,2,0.783441,0.691611,,,
artificial intelligent,artificial_intelligent,151,10,AI technologies;AI technology;AI tool;artificial intelligence;artificial intelligence technology;computer vision;image recognition;machine learning;natural language processing;robotic process automation,ai_methods;ai_technology;automation_robotics;core_ai,exact_key,10,0.776349,0.701585,,,
artificial intelligence algorithms,artificial_intelligence_algorithms,162,10,AI models;AI technologies;AI technology;AI tools;artificial intelligence;artificial intelligence technologies;artificial intelligence technology;machine learning;natural language processing;neural networks,ai_methods;ai_technology;core_ai,exact_key,16,0.754533,0.700945,,,
copilots,copilots,221,10,AI models;AI tools;ChatGPT;Generative AI;Generative AI technology;Generative AI tools;LLM;LLMs;large language model;large language models,ai_technology;gen_ai,exact_key,17,0.722610,0.692874,,,
chat gpt,chat_gpt,163,9,ChatGPT;GPT-3;GPT-4;Generative AI;Generative AI technology;LLM;LLMs;large language model;large language models,gen_ai,exact_key,4,0.806320,0.706309,,,
openai's,openai's,58,9,ChatGPT;GPT-3;GPT-4;Generative AI models;Generative AI technologies;Generative AI tools;LLM;LLMs;large language model,gen_ai,exact_key,2,0.760596,0.707687,,,
pretrained,pretrained,109,9,AI model;AI models;GPT-3;LLM;LLMs;large language model;large language models;neural networks;reinforcement learning,ai_methods;ai_technology;core_ai;gen_ai,exact_key,11,0.745828,0.700113,,,
ai+,ai+,19,9,AI capabilities;AI implementation;AI solutions;AI technologies;AI technology;Generative AI;Generative AI technologies;Generative AI technology;generative artificial intelligence,ai_activity;ai_technology;gen_ai,exact_key,14,0.720569,0.689447,,,
text-to-code,text-to-code,16,9,AI model;AI tool;GPT-4;Generative AI technologies;Generative AI technology;Generative AI tools;LLM;NLP;large language model,ai_methods;ai_technology;gen_ai,exact_key,5,0.709579,0.665698,,,
llm-based,llm-based,12,9,AI application;AI capabilities;AI skills;AI solutions;Generative AI models;Generative AI technologies;LLM;artificial intelligence technologies;generative artificial intelligence,ai_activity;ai_technology;ai_workforce;core_ai;gen_ai,exact_key,21,0.708557,0.675965,,,
hypermodal,hypermodal,5,9,AI adoption;AI exposure;AI implementation;AI investment;AI investments;AI solutions;Generative AI;Generative AI models;Generative AI technologies,ai_activity;ai_exposure;gen_ai,exact_key,19,0.701570,0.622759,,,
predictive analytics,predictive_analytics,4829,8,AI capabilities;AI tools;artificial intelligence;artificial intelligence technologies;artificial intelligence technology;machine learning;natural language processing;robotic process automation,ai_activity;ai_methods;ai_technology;automation_robotics;core_ai,exact_key,8,0.839221,0.720997,,,
aiml,aiml,311,8,AI applications;AI capabilities;AI solutions;Generative AI;artificial intelligence;deep learning;generative artificial intelligence;machine learning,ai_activity;ai_technology;core_ai;gen_ai,exact_key,15,0.749595,0.708729,,,
copilot,copilot,1597,8,AI capabilities;AI tool;AI tools;ChatGPT;GPT-4;Generative AI;Generative AI tools;LLMs,ai_activity;ai_technology;gen_ai,exact_key,20,0.744084,0.686266,,,
langchain,langchain,14,8,AI model;AI models;AI tool;GPT-4;Generative AI models;Generative AI technologies;LLM;LLMs,ai_technology;gen_ai,exact_key,17,0.724907,0.680681,,,
dall-e,dall-e,46,8,ChatGPT;GPT-3;GPT-4;Generative AI models;Generative AI tools;LLMs;large language models;reinforcement learning,ai_methods;gen_ai,exact_key,11,0.720620,0.699096,,,
fiverr neo,fiverr_neo,17,8,AI skills;ChatGPT;GPT-4;Generative AI;Generative AI models;Generative AI technologies;Generative AI technology;Generative AI tools,ai_workforce;gen_ai,exact_key,27,0.711854,0.672261,,,
ai-assisted,ai-assisted,195,8,AI technologies;AI technology;AI tool;AI tools;artificial intelligence;artificial intelligence technology;generative artificial intelligence;image recognition,ai_methods;ai_technology;core_ai;gen_ai,exact_key,6,0.707274,0.673407,,,
deepsearch,deepsearch,6,8,AI application;AI integration;AI model;AI technology;Generative AI models;Generative AI technologies;NLP;image recognition,ai_activity;ai_methods;ai_technology;gen_ai,exact_key,11,0.704020,0.665332,,,
pre-trained models,pre-trained_models,28,8,AI model;AI skills;GPT-4;Generative AI models;LLM;LLMs;large language model;supervised learning,ai_methods;ai_technology;ai_workforce;gen_ai,exact_key,29,0.700442,0.677009,,,
analytics,analytics,167362,7,AI capabilities;AI solutions;AI tools;artificial intelligence;machine learning;natural language processing;robotic process automation,ai_activity;ai_methods;ai_technology;automation_robotics;core_ai,exact_key,15,0.802239,0.715900,,,
unsupervised learning,unsupervised_learning,43,7,GPT-4;deep learning;large language models;machine learning;neural networks;reinforcement learning;supervised learning,ai_methods;core_ai;gen_ai,exact_key,1,0.798538,0.709565,,,
neural network-based,neural_network-based,41,7,AI technology;computer vision;deep learning;image recognition;neural network;neural networks;reinforcement learning,ai_methods;ai_technology;core_ai,exact_key,5,0.776128,0.719955,,,
convolutional,convolutional,41,7,computer vision;deep learning;image recognition;neural network;neural networks;reinforcement learning;supervised learning,ai_methods;core_ai,exact_key,6,0.756403,0.703089,,,
deep-learning,deep-learning,76,7,AI solutions;AI technologies;artificial intelligence;artificial intelligence technologies;computer vision;deep learning;machine learning,ai_activity;ai_methods;ai_technology;core_ai,exact_key,20,0.754357,0.698729,,,
inference-based,inference-based,9,7,AI applications;AI investments;AI models;Generative AI models;deep learning;neural networks;supervised learning,ai_activity;ai_methods;ai_technology;core_ai;gen_ai,exact_key,14,0.718267,0.680559,,,
aigc,aigc,403,7,AI investment;AI technologies;AI technology;Generative AI;Generative AI technology;Generative AI tools;large language model,ai_activity;ai_technology;gen_ai,exact_key,25,0.714971,0.657207,,,
chatgpt et cetera,chatgpt_et_cetera,18,7,AI adoption;AI investment;AI investments;ChatGPT;GPT-3;Generative AI;generative artificial intelligence,ai_activity;gen_ai,exact_key,14,0.709991,0.620430,,,
gen-ai,gen-ai,54,7,AI adoption;AI investment;AI investments;Generative AI;Generative AI models;Generative AI technologies;LLMs,ai_activity;gen_ai,exact_key,9,0.708450,0.624701,,,
sec-palm,sec-palm,6,7,AI analyst;AI skills;AI tool;Generative AI models;LLM;LLMs;supervised learning,ai_applications;ai_methods;ai_technology;ai_workforce;gen_ai,exact_key,18,0.701772,0.681028,,,
modelops,modelops,13,7,AI adoption;AI capabilities;AI implementation;AI integration;AI investment;Generative AI technologies;generative artificial intelligence,ai_activity;gen_ai,exact_key,4,0.691563,0.623472,,,
machine learning-based,machine_learning-based,309,6,AI capabilities;AI tool;artificial intelligence technology;machine learning;natural language processing;reinforcement learning,ai_activity;ai_methods;ai_technology;core_ai,exact_key,20,0.780429,0.686632,,,
convolutional neural networks,convolutional_neural_networks,30,6,GPT-3;deep learning;neural network;neural networks;reinforcement learning;supervised learning,ai_methods;core_ai;gen_ai,exact_key,4,0.754696,0.704672,,,
gpt4,gpt4,32,6,ChatGPT;GPT-3;GPT-4;Generative AI models;Generative AI technologies;large language models,gen_ai,exact_key,10,0.732421,0.710856,,,
machine learning et cetera,machine_learning_et_cetera,60,6,AI investments;NLP;artificial intelligence;artificial intelligence technologies;machine learning;robotic process automation,ai_activity;ai_methods;automation_robotics;core_ai,exact_key,23,0.726312,0.650506,,,
artificial intelligence-based,artificial_intelligence-based,203,6,AI technologies;AI technology;AI tool;artificial intelligence;artificial intelligence technology;image recognition,ai_methods;ai_technology;core_ai,exact_key,11,0.708961,0.681991,,,
automl,automl,114,6,ChatGPT;GPT-3;GPT-4;Generative AI tools;NLP;large language models,ai_methods;gen_ai,exact_key,22,0.699709,0.661754,,,
dnn,dnn,45,5,computer vision;deep learning;neural network;neural networks;reinforcement learning,ai_methods;core_ai,exact_key,7,0.743922,0.706195,,,
inferencing,inferencing,1103,5,AI applications;AI investments;LLMs;deep learning;neural network,ai_activity;ai_technology;core_ai;gen_ai,exact_key,28,0.741597,0.663836,,,
machine learning-driven,machine_learning-driven,74,5,AI capabilities;AI tools;artificial intelligence technologies;artificial intelligence technology;machine learning,ai_activity;ai_technology;core_ai,exact_key,23,0.738262,0.689435,,,
few-shot,few-shot,9,5,AI model;AI skills;AI tool;reinforcement learning;supervised learning,ai_methods;ai_technology;ai_workforce,exact_key,4,0.728705,0.683692,,,
chatbots,chatbots,776,5,AI tools;ChatGPT;NLP;natural language processing;robotic process automation,ai_methods;ai_technology;automation_robotics;gen_ai,exact_key,7,0.726267,0.683656,,,
nvidia ai,nvidia_ai,415,5,AI application;AI applications;AI solutions;LLM;large language models,ai_activity;ai_technology;gen_ai,exact_key,14,0.725106,0.688668,,,
language-centric,language-centric,18,5,AI integration;AI technologies;AI technology;artificial intelligence technologies;artificial intelligence technology,ai_activity;ai_technology;core_ai,exact_key,22,0.724961,0.686386,,,
generative ai-powered,generative_ai-powered,59,5,AI capabilities;AI integration;AI tool;Generative AI technology;Generative AI tools,ai_activity;ai_technology;gen_ai,exact_key,3,0.714908,0.677606,,,
text-to-workflow,text-to-workflow,5,5,AI tool;ChatGPT;GPT-4;Generative AI tools;LLM,ai_technology;gen_ai,exact_key,17,0.707422,0.670283,,,
github copilot,github_copilot,149,5,AI investments;ChatGPT;GPT-3;GPT-4;Generative AI tools,ai_activity;gen_ai,exact_key,10,0.703193,0.651089,,,
cailan,cailan,6,5,AI application;AI model;Generative AI technologies;reinforcement learning;supervised learning,ai_methods;ai_technology;gen_ai,exact_key,17,0.702530,0.675289,,,
nvidia nemo,nvidia_nemo,13,5,AI application;GPT-3;Generative AI models;LLM;reinforcement learning,ai_methods;ai_technology;gen_ai,exact_key,34,0.699253,0.669640,,,
deepspeed,deepspeed,5,5,AI application;AI models;AI skills;LLM;supervised learning,ai_methods;ai_technology;ai_workforce;gen_ai,exact_key,18,0.686583,0.677423,,,
analytic,analytic,12871,4,AI capabilities;AI tools;automated underwriting;machine learning,ai_activity;ai_applications;ai_technology;core_ai,exact_key,18,0.783077,0.681508,,,
computational,computational,3340,4,deep learning;machine learning;neural network;neural networks,core_ai,exact_key,11,0.773390,0.725939,,,
conversational,conversational,2051,4,AI capabilities;Generative AI;NLP;natural language processing,ai_activity;ai_methods;gen_ai,exact_key,11,0.737245,0.690256,,,
cugraph,cugraph,5,4,deep learning;neural network;neural networks;supervised learning,ai_methods;core_ai,exact_key,7,0.735209,0.709621,,,
machine-learning algorithms,machine-learning_algorithms,86,4,AI models;AI tools;machine learning;supervised learning,ai_methods;ai_technology;core_ai,exact_key,27,0.732335,0.706085,,,
rlhf,rlhf,15,4,AI model;AI tool;reinforcement learning;supervised learning,ai_methods;ai_technology,exact_key,2,0.727680,0.681242,,,
machine-based learning,machine-based_learning,37,4,artificial intelligence technology;machine learning;reinforcement learning;supervised learning,ai_methods;core_ai,exact_key,23,0.726642,0.684602,,,
adobe firefly,adobe_firefly,23,4,ChatGPT;GPT-4;Generative AI models;Generative AI tools,gen_ai,exact_key,17,0.724524,0.670291,,,
data-center-scale,data-center-scale,5,4,GPT-3;deep learning;neural networks;reinforcement learning,ai_methods;core_ai;gen_ai,exact_key,31,0.722570,0.686366,,,
bionemo,bionemo,96,4,GPT-3;GPT-4;Generative AI models;LLM,gen_ai,exact_key,18,0.720676,0.679814,,,
inferentia,inferentia,20,4,AI application;Generative AI models;LLM;LLMs,ai_technology;gen_ai,exact_key,20,0.718346,0.685658,,,
ai-based algorithms,ai-based_algorithms,36,4,AI integration;AI technology;artificial intelligence technologies;artificial intelligence technology,ai_activity;ai_technology;core_ai,exact_key,9,0.712378,0.683075,,,
adobe sensei,adobe_sensei,108,4,AI capabilities;AI investments;Generative AI;Generative AI technologies,ai_activity;gen_ai,exact_key,37,0.698169,0.646229,,,
openai's chatgpt,openai's_chatgpt,16,4,ChatGPT;GPT-4;Generative AI models;Generative AI tools,gen_ai,exact_key,22,0.696117,0.663831,,,
chatspot,chatspot,47,4,AI tool;ChatGPT;GPT-3;GPT-4,ai_technology;gen_ai,exact_key,23,0.694838,0.661349,,,
omniverse replicator,omniverse_replicator,12,4,AI models;LLMs;neural network;supervised learning,ai_methods;ai_technology;core_ai;gen_ai,exact_key,37,0.686218,0.679249,,,
taskgpt,taskgpt,24,4,AI tool;Generative AI technologies;Generative AI technology;Generative AI tools,ai_technology;gen_ai,exact_key,13,0.685331,0.667606,,,
comate,comate,8,4,AI investment;AI technology;ChatGPT;Generative AI technology,ai_activity;ai_technology;gen_ai,exact_key,36,0.683598,0.619336,,,
apixio's,apixio's,5,4,AI implementation;AI investment;artificial intelligence technologies;generative artificial intelligence,ai_activity;core_ai;gen_ai,exact_key,25,0.681148,0.597719,,,
human-machine,human-machine,17,4,AI integration;AI skills;artificial intelligence technologies;artificial intelligence technology,ai_activity;ai_workforce;core_ai,exact_key,2,0.679864,0.673798,,,
llm-powered,llm-powered,8,4,AI tool;ChatGPT;GPT-4;Generative AI tools,ai_technology;gen_ai,exact_key,9,0.670258,0.653031,,,
recommendators,recommendators,9,4,AI adoption;AI application;AI investment;AI investments,ai_activity;ai_technology,exact_key,2,0.638370,0.594535,,,
openai chatgpt,openai_chatgpt,16,3,ChatGPT;GPT-3;GPT-4,gen_ai,exact_key,15,0.731104,0.675035,,,
dnns,dnns,10,3,neural network;neural networks;supervised learning,ai_methods;core_ai,exact_key,21,0.724686,0.701666,,,
resnet-50,resnet-50,27,3,deep learning;neural network;neural networks,core_ai,exact_key,14,0.720207,0.710055,,,
nlu,nlu,86,3,NLP;image recognition;natural language processing,ai_methods,exact_key,3,0.720150,0.675621,,,
cutting-edge,cutting-edge,10229,3,AI technologies;AI technology;artificial intelligence,ai_technology;core_ai,exact_key,29,0.716466,0.707383,,,
generative ai-enabled,generative_ai-enabled,14,3,AI integration;AI skills;AI tool,ai_activity;ai_technology;ai_workforce,exact_key,1,0.716440,0.668645,,,
artificial intelligence et cetera,artificial_intelligence_et_cetera,60,3,AI investments;artificial intelligence;artificial intelligence technologies,ai_activity;core_ai,exact_key,11,0.714161,0.654732,,,
text-to-speech,text-to-speech,153,3,NLP;image recognition;natural language processing,ai_methods,exact_key,12,0.712879,0.675376,,,
ai et cetera,ai_et_cetera,145,3,AI investments;Generative AI technologies;artificial intelligence,ai_activity;core_ai;gen_ai,exact_key,6,0.712598,0.663057,,,
chatgbt,chatgbt,13,3,AI investment;ChatGPT;Generative AI technologies,ai_activity;gen_ai,exact_key,21,0.711356,0.620243,,,
python-based,python-based,7,3,AI skills;GPT-4;supervised learning,ai_methods;ai_workforce;gen_ai,exact_key,14,0.711051,0.676566,,,
trainium,trainium,19,3,GPT-3;LLM;LLMs,gen_ai,exact_key,24,0.710547,0.687567,,,
linear algebra,linear_algebra,47,3,neural network;neural networks;supervised learning,ai_methods;core_ai,exact_key,22,0.705959,0.689966,,,
cnn-based,cnn-based,14,3,AI application;computer vision;neural network,ai_methods;ai_technology;core_ai,exact_key,21,0.704499,0.678605,,,
azure openai,azure_openai,95,3,Generative AI models;LLM;LLMs,gen_ai,exact_key,28,0.704425,0.699718,,,
microsoft copilot,microsoft_copilot,111,3,ChatGPT;Generative AI;Generative AI tools,gen_ai,exact_key,11,0.703827,0.691448,,,
ai-backed,ai-backed,40,3,AI integration;artificial intelligence technologies;artificial intelligence technology,ai_activity;core_ai,exact_key,11,0.701101,0.670952,,,
esre,esre,61,3,GPT-3;GPT-4;LLM,gen_ai,exact_key,33,0.699866,0.666834,,,
segformer,segformer,5,3,image recognition;neural network;supervised learning,ai_methods;core_ai,exact_key,32,0.697418,0.668124,,,
ai inferencing,ai_inferencing,84,3,AI adoption;AI application;AI applications,ai_activity;ai_technology,exact_key,26,0.695687,0.636802,,,
path-planning,path-planning,8,3,AI integration;computer vision;image recognition,ai_activity;ai_methods,exact_key,32,0.694248,0.660149,,,
ai-dedicated,ai-dedicated,7,3,AI adoption;AI application;AI applications,ai_activity;ai_technology,exact_key,32,0.690969,0.629692,,,
qianwen,qianwen,7,3,AI model;GPT-3;large language model,ai_technology;gen_ai,exact_key,29,0.688468,0.672505,,,
ai-enhanced,ai-enhanced,101,3,AI integration;AI tool;artificial intelligence technology,ai_activity;ai_technology;core_ai,exact_key,17,0.687362,0.656318,,,
augmented reality,augmented_reality,4761,3,computer vision;image recognition;robotics,ai_methods;automation_robotics,exact_key,29,0.687331,0.651495,,,
tensors,tensors,7,3,neural network;neural networks;supervised learning,ai_methods;core_ai,exact_key,39,0.687224,0.678226,,,
deep recommendators,deep_recommendators,12,3,AI investments;NLP;supervised learning,ai_activity;ai_methods,exact_key,8,0.685760,0.617503,,,
vector embeddings,vector_embeddings,14,3,AI model;NLP;supervised learning,ai_methods;ai_technology,exact_key,36,0.685047,0.651826,,,
aws sagemaker,aws_sagemaker,13,3,AI skills;GPT-4;Generative AI technologies,ai_workforce;gen_ai,exact_key,19,0.683059,0.663656,,,
generative ai-based,generative_ai-based,40,3,AI tool;Generative AI technology;Generative AI tools,ai_technology;gen_ai,exact_key,19,0.678648,0.657350,,,
magnifai,magnifai,27,3,AI integration;Generative AI technology;Generative AI tools,ai_activity;gen_ai,exact_key,4,0.675293,0.659974,,,
gpt-based,gpt-based,5,3,Generative AI technologies;Generative AI technology;NLP,ai_methods;gen_ai,exact_key,32,0.673500,0.643444,,,
ai's,ai's,326,3,AI adoption;AI technologies;generative artificial intelligence,ai_activity;ai_technology;gen_ai,exact_key,39,0.672880,0.624267,,,
machine-learning-driven,machine-learning-driven,9,3,AI integration;AI investments;artificial intelligence technologies,ai_activity;core_ai,exact_key,23,0.670380,0.617951,,,
retrieval augmented,retrieval_augmented,26,3,NLP;generative artificial intelligence;reinforcement learning,ai_methods;gen_ai,exact_key,14,0.670165,0.645883,,,
dbxi,dbxi,9,3,AI investment;AI investments;artificial intelligence technology,ai_activity;core_ai,exact_key,12,0.669958,0.566557,,,
self-optimize,self-optimize,9,3,AI implementation;AI investment;AI skills,ai_activity;ai_workforce,exact_key,13,0.665756,0.592494,,,
hyper-conversion,hyper-conversion,5,2,AI exposure;Artificial intelligence adoption,ai_activity;ai_exposure,exact_key,12,0.753960,0.725896,,,
ml-based,ml-based,65,2,artificial intelligence technologies;artificial intelligence technology,core_ai,exact_key,3,0.748558,0.714098,,,
object detection,object_detection,385,2,computer vision;image recognition,ai_methods,exact_key,12,0.746688,0.725208,,,
high-performance computing,high-performance_computing,3856,2,AI adoption;AI applications,ai_activity;ai_technology,exact_key,9,0.744499,0.664415,,,
facial recognition,facial_recognition,1715,2,computer vision;image recognition,ai_methods,exact_key,6,0.743760,0.741410,,,
diimos,diimos,9,2,AI implementation;Artificial intelligence adoption,ai_activity,exact_key,20,0.736383,0.672762,,,
